QualifiedApiName,NamespacePrefix,Label
TimeSlotHistory,,Time Slot History
TimeSlotChangeEvent,,Time Slot Change Event
ServiceResourceCapacity,,Resource Capacity
ServiceResourceCapacityHistory,,Resource Capacity History
ServiceResourceCapacityFeed,,Resource Capacity Feed
ServiceResourceCapacityChangeEvent,,Resource Capacity Change Event
ResourcePreference,,Resource Preference
ResourcePreferenceHistory,,Resource Preference History
ResourcePreferenceFeed,,Resource Preference Feed
ResourcePreferenceChangeEvent,,Resource Preference Change Event
ProductItem,,Product Item
ProductItemShare,,Product Item Share
ProductItemOwnerSharingRule,,Product Item Owner Rule
ProductItemHistory,,Product Item History
ProductItemFeed,,Product Item Feed
ProductItemChangeEvent,,Product Item Change Event
ProductConsumed,,Product Consumed
ProductConsumedHistory,,Product Consumed History
ProductConsumedFeed,,Product Consumed Feed
ProductConsumedChangeEvent,,Product Consumed Change Event
ProductRequired,,Product Required
ProductRequiredHistory,,Product Required History
ProductRequiredFeed,,Product Required Feed
ProductRequiredChangeEvent,,Product Required Change Event
ProductItemTransaction,,Product Item Transaction
ProductItemTransactionHistory,,Product Item Transaction History
ProductItemTransactionFeed,,Product Item Transaction Feed
ProductItemTransactionChangeEvent,,Product Item Transaction Change Event
ServiceReport,,Service Report
ServiceReportHistory,,Service Report History
ServiceReportChangeEvent,,Service Report Change Event
DigitalSignature,,Digital Signature
DigitalSignatureChangeEvent,,Digital Signature Change Event
ServiceReportLayout,,Service Report Layout
ServiceReportLayoutChangeEvent,,Service Report Layout Change Event
FieldServiceMobileSettings,,Field Service Mobile Settings
FieldServiceMobileSettingsChangeEvent,,Field Service Mobile Settings Change Event
AppExtension,,App Extension
AppExtensionChangeEvent,,App Extension Change Event
Entitlement,,Entitlement
EntitlementHistory,,Entitlement History
EntitlementFeed,,Entitlement Feed
EntitlementChangeEvent,,Entitlement Change Event
EntitlementContact,,Entitlement Contact
EntityMilestone,,Object Milestone
EntityMilestoneHistory,,Object Milestone History
EntityMilestoneFeed,,Object Milestone Feed
ServiceContract,,Service Contract
ServiceContractShare,,Service Contract Share
ServiceContractOwnerSharingRule,,Service Contract Owner Rule
ServiceContractHistory,,Service Contract History
ServiceContractFeed,,Service Contract Feed
ServiceContractChangeEvent,,Service Contract Change Event
ContractLineItem,,Contract Line Item
ContractLineItemHistory,,Contract Line Item History
ContractLineItemFeed,,Contract Line Item Feed
ContractLineItemChangeEvent,,Contract Line Item Change Event
ChannelLayout,,Communication Channel Layout
LinkedArticle,,Linked Article
LinkedArticleHistory,,Linked Article History
LinkedArticleFeed,,Linked Article Feed
LinkedArticleChangeEvent,,Linked Article Change Event
ContentAsset,,Asset File
ContentFolder,,Content Folder
ContentFolderChangeEvent,,Content Folder Change Event
CollaborationGroupRecord,,Group Record
CollaborationGroupRecordChangeEvent,,Group Record Change Event
Announcement,,Announcement
StreamingChannel,,Streaming Channel
StreamingChannelShare,,Streaming Channel Share
StreamingChannelOwnerSharingRule,,Streaming Channel Owner Rule
MobilePushServiceDevice,,Mobile Push Service Device
ActionLinkGroupTemplate,,Action Link Group Template
ActionLinkTemplate,,Action Link Template
AddressCountryLocalization,,Translation
AddressStateLocalization,,Translation
Address,,Address
AddressHistory,,Address History
Location,,Location
LocationShare,,Location Share
LocationOwnerSharingRule,,Location Owner Rule
LocationHistory,,Location History
LocationFeed,,Location Feed
LocationChangeEvent,,Location Change Event
